Thinking overload 
Do nice things for people 
New look EVERYDAY LUXURY 
Just a nice airy photo of me by my dear mariagnyan   Saint Petersburg Russia 
fashionmindruDetails from the latest post on my blog fashionblogger styleblogger 
EVERYDAY LUXURY  on bloglovin
Sweet home 
Good night  morning   Trinity Bridge Saint Petersburg 
fashionmindruWild nature miracles from the latest post about Norway on my blog 
RT Interesno_Vsem 
Norway Adventure  on bloglovin
Live your own life
Everything is temporary
Do I need toxic friendship No
HB dear nat_ili  chinchin  PORT Seafood cafe 
MotherRussia  Peter and Paul Fortress 
Munch Scream Norway Oslo art  National Gallery Norway 
Cheershealthy joeandthejuice Oslo  JOE amp THE JUICE  NORWAY 
Back to Stavanger and then off to Oslo for a couple of days Norway Stavanger streetart love 
FriendsNot food Dont mess with the sheeps friends sheeps Norway Lysebotn  Lysebotn 
That view Norway Trolltunga hike nature view  Trolltunga 
When tired as hell but need to go at least 700 meters up Norway trolltunga Odda hike 
Breakfast at the camping Norway Odda  Odda Camping 
Norway for the first time  Oslo  Gardermoen Norway International Airport 
fashionmindruNew post about my trip to Amsterdam is up on the blog amsterdam 
My Amsterdam guide  where to stay eat shop and have fun  on bloglovin
Yum  Amsterdam summervibes foodporn  Amsterdam Netherlands 
Deal with it Amsterdam  De Foodhallen 
Best lifestyle ever Amsterdam life chill dogs  Amsterdam Netherlands 
Banksy FlowerThrower MocoMuseum Amsterdam  Moco Museum 
Banksy MocoMuseum Amsterdam  Moco Museum 
QueenB   CrazyinLove FormationWorldTour Beyonce Amsterdam  Arena stadion Amsterdam 
When you and your friend excited about Beyonce concert  Arena stadion Amsterdam 
Amsterdam StreetArt  Amsterdam Netherlands 
GoodVibesOnly   Amsterdam Netherlands 
Cheers   RAZMATAZ 
SaintPink  Saint Petersburg Russia 
Choices choices 
My dear rainy SaintP   Au Pont Rouge 
New look RED 
Summer days 
fashionmindru Details from the latest outfit post on my blog fashionblogger styleblogger 
fashionmindru New outfit post is up on the blog  photo mariagnyan fashionblogger 
RED TEENAGE DREAMS AND MODERN VINTAGE  on bloglovin
MY PICKS OF THE WEEK  Vacation Mode  on bloglovin
New look FLOWER CHILD 
fashionmindruFlower Child outfit post fashionblogger styleblogger 
fashionmindruNew post fashionblogger styleblogger russianfashionblogger flowerchild 
FLOWER CHILD  on bloglovin
SaintP   on bloglovin
For myself by myself 
Sunset or sunrise whitenights saintp  Saint Petersburg Russia 
SPANISH SERIES La Garrotxa  on bloglovin
New look POCKET DRESS 
fashionmindruNew outfit post is up on the blog fashionblogger russianfashionblogger 
POCKET DRESS  on bloglovin
New look SUNNY FLORALS 
MY PICKS OF THE WEEK  Florals  on bloglovin
Beautybreakfast with Lumene  on bloglovin
runbabyrun  Tsarskoye Selo 
Happy girls are the prettiest  KROO Cafe 
SPANISH SERIES Montserrat  on bloglovin
fashionmindru fashionblogger styleblogger russianfashionblogger 
fashionmindruNew post Let it be tender morning for everyone fashionblogger 
SUNNY FLORALS  on bloglovin
fashionmindruNew post with my picks of the week related to magic theme is up on the blog 
MY PICKS OF THE WEEK  Magic  on bloglovin
Some days you just have nothing
RT Wearisma A gorgeous lifestyle blog to take you out of Wednesday gt  BloggingGals  https
Fight for your right to come to Adeles concert  on bloglovin
One of my fave places in Barcelona  mountain Montjuic   Montjuïc Barcelona 
Its so natural to be happy when you are on your way to Adeles concert  Palau Sant Jordi 
The distance between your dreams and reality is called ACTION  Jardins De Santa Clotilde 
New look CINEMA AND FASHION 
Flower art   Lloret de Mar Spain 
fashionmindru I love red Red is powerful and full of life  Suit soniamarmeladova 
I just ran 219 km with Nike  nikeplus
My personal heaven  La Roca Village 
fashionmindru blogger fashionblogger styleblogger russianfashionblogger style fashion 
MY LECTURE ABOUT CINEMA AND FASHION  on bloglovin
Happy life  Lloret De Mar Beach 
Woods of LloretdeMar  Lloret De Mar Beach 
Sorry guys foodporn spain  Lloret de Mar Spain 
Its poppy season in Spain   Lloret De Mar Beach 
Landed in my second home 
Just a frugal breakfast  Mickey amp Monkeys 
HB HamletampJack 
