я тоже 
мама как я без тебя буду когда уедешь опять давай драться каждый день чтобы осадок неприятный остался 
с днем рождения тебяяя   не могу дождаться обнять 
скучно 
когда в самолете со ВСЕХ сторон дети  
собралась теперь че 
ПОЧЕМУ ТАК ЖАРКО
хорошо лететь только полтора часа еще пару часов подождать и все надоело мне тут
тьфутьфутьфу
не видела арлана один день скучаю не могу  кстати вот он  
вы знали Гаухар беременная замуж выходит в эту пятницу она первая из нашего класса да я в шоке 
совсем устал
укладка мне очень не нравится а так  взгляд пустой ужс 
ага обновляю
дела дела 
хехее 
в астане сто лет не была интересно посмотреть как город изменился
приготовила лазанью Амир доедает 3ий кусок лучший комплимент 
когда не знаешь где твой дом и куда тянет сильнее 
Арлан такой черный  карабала в семье  
съездили на холмы ох сколько там было бутылок и всякого мусора 
немного о сегодня 
просто зашла в эксплор
в инстаграме так много казашек с наращенными ресницами и цветами в руках есть прямо тип девушек и выглядят таак одинаково
думаю очень романтично я даже не знаю когда и где ты когда подумываешь
пиши как приедешь нам нужно назначить свидание 
я в шоке в итоге хотят 7 тарелок беша ставить 
носит мои найки 
спим  
спасибо
спасибо
у меня родители в актобе переехали завтра туда лечу пока в Алмате
хехе все такие на русском говорят 
в Кз есть нетфликс
полет 9 часов меня так мало покормили просто подразнили
последний день на работе утро началось очень здорово 
нормально же все будет да
а кто нибудь еще переживает перед тем как поехать в Кз что со мной не так иногда как задумаюсь прям подташнивает от беспокойства
вчера вот такой сапог был 
правильно сделала
ерблан 
типутелла 
опасно идти домой после работы 
а так скидки везде 
вот у тебя попа 
Арлану уже месяц 
клиентка сказала я нечаянно побрилась слава богу это сейчас в моде 
кофе такой вкусный
надо попробовать
пытаюсь ключевое слово
еще пытаюсь учить французский
а потом опять не очень я даже казахский пытаюсь практиковать  но его я совсем забываю
но хотя когда я здесь с русскими около часа поболтаю все налаживается
я конечно не была самой умной но сейчас совсем все плохо
еще я все хуже и хуже говорю на русском в живую со мной вообще кажется больно разговаривать
все что касается красоты
хотела бы апдейтить вас я опять иду в колледж уже на спа курс чтобы могла работать везде в мире и была эдаким человеком который может все
она смотреть будет
ахах я не знаю посмотрю завтра как раз Амиру иду покупать форму барселоны
а потом через еще неделю Шнара приезжает
скоро приеду будем играть я дни считаю уже 
