collocate,cooc,mean_dist,std_dev_dist,chi_sq,MI,loglike
положительно,4,-1,2,2.98856308843706E+034,7.392235073,33.0567687507
случае,4,-1.75,0.5,2.08334202122515E+033,3.7546310926,13.4283199132
себя,6,-1.5,2.3452078799,5.33983349551414E+033,4.4384580898,25.5086026876
li4ti5o12,4,-0.75,2.0615528128,6.95811059189895E+034,8.6016884387,40.2561719008
фуллерено-подобные,4,-1,0,5.59165727838039E+035,11.6016884387,64.3515216265
полимерные,6,-1.3333333333,0.5163977795,4.15192824196406E+034,7.2797603438,48.6688170983
сферические,20,-1.2,0.4103913408,1.11502926345534E+036,10.2511911916,253.8321661553
и,95,-0.4421052632,1.8201928205,9.26640186810165E+033,1.8856542207,115.4988130669
наноразмерные,6,-1.3333333333,0.5163977795,5.49222375313611E+034,7.6788562992,51.9698671646
которые,8,0.75,2.3145502494,1.59619628978295E+033,2.6445863971,15.939346505
такой,5,-1.4,0.894427191,2.94698581443733E+033,3.9082014812,17.7803130855
твердые,5,-1,0,8.93184478570631E+034,8.6382143147,50.5959158663
для,9,-1,1.8027756377,9.47051398061347E+031,0.6890485526,1.7750460575
диоксида,4,1.25,0.5,1.34577209666593E+034,6.2618384358,26.8448965617
представляют,4,-0.75,2.0615528128,7.84205745304703E+033,5.5089312977,22.7410082951
крошечные,4,-1.5,0.5773502692,7.95725791605415E+034,8.7943335166,41.4003854441
поскольку,6,-1.6666666667,0.8164965809,6.3736103528534E+033,4.6729233434,27.3763524878
сами,5,-1.4,0.894427191,9.25261320904589E+033,5.4277615067,27.8816974167
полученные,10,-0.2,1.5491933385,4.00364887835424E+034,6.4973517788,70.4047328067
на,44,-0.6363636364,1.9776766859,4.87056361483104E+033,2.0391858115,59.0789416311
'',5,-2.2,1.095445115,6.55390614898803E+032,2.2314369572,7.6141533444
микроскопические,6,-1.1666666667,0.4082482905,1.04606541850203E+035,8.6016884387,60.3978030879
крупные,6,-2,0.894427191,2.58858640605308E+034,6.6092221113,43.1368208242
более,4,1,2,2.55010550591238E+032,1.6290675766,3.6281449913
который,4,-2.5,1,6.93606076945288E+032,2.5049732842,7.3121635245
роста,4,-2.5,0.5773502692,4.45978338972793E+033,4.7406015327,18.6035006327
могут,39,1,0.7947194142,7.52868205736656E+034,5.4343346285,219.2795951945
которых,7,-1.7142857143,1.889822365,3.18535075288129E+033,3.5840846202,21.9942132775
поверхности,7,-2.2857142857,0.755928946,3.53731402841656E+033,3.7129451898,23.1456622024
мезопористые,5,-1,0,1.83811298424058E+035,9.6756890201,58.5533323971
форм,5,2,0,1.87881412972035E+034,6.4158218933,34.6158564401
размера,20,0.4,1.6670175069,1.4966191761199E+035,7.3690276819,165.0047695452
нанотрубок,5,-2.4,0.5477225575,2.02006247237468E+033,3.4428263324,14.8068125664
большие,6,-1,1.2649110641,1.67473763480872E+034,5.9968263805,38.1076186179
результате,9,-1.6666666667,1.5,1.29252423349112E+034,5.0746459139,45.9351983225
них,4,-2.25,0.5,1.20865522411216E+033,3.1038366017,10.1560238512
палладия,4,1,0,3.96068599859762E+034,7.7943335166,35.5651522793
наночастиц,5,-2.4,0.5477225575,1.95072059554615E+033,3.4010350023,14.5440271818
катализатора,11,0.6363636364,1.3618169681,7.9094162888223E+034,7.3264104371,89.9948443748
образом,5,-2.6,0.5477225575,2.34184142866251E+033,3.6221203386,15.9426680492
заряженные,7,-1,0,2.07772095319766E+035,9.3646492414,78.5498482142
размер,8,-1.25,0.7071067812,1.62516870493656E+034,5.5518398892,45.9824341512
форме,5,1,2.2360679775,1.31755798034472E+034,5.9179919843,31.2131589102
когда,5,-1,1.8708286934,2.02517313676049E+033,3.4458582671,14.8259076343
однако,5,-0.6,2.4083189158,1.30261325293474E+033,2.9356420092,11.6767419315
sio2,6,0.3333333333,1.6329931619,5.25870431401484E+034,7.616795331,51.4562153277
как,21,-1.3333333333,1.5275252317,4.33144137168505E+033,2.6642095232,42.5440200687
использованы,4,-0.25,1.5,9.04716518182323E+033,5.7068706753,23.8161931785
были,27,0.2962962963,1.6128048863,4.9070086136184E+034,5.3693119287,149.0722936419
диаметр,9,1.6666666667,1,3.91688699200436E+034,6.616795331,64.8288241626
при,29,-0.7931034483,2.1938112685,1.26862493888664E+034,3.5065642832,88.8767698579
новые,5,-1.2,0.4472135955,2.20099137653089E+033,3.5464060032,15.4613900881
образуются,5,-0.6,1.5165750888,3.05330802439565E+034,7.1034375711,39.3378895473
наночастицы,6,-2.8333333333,0.4082482905,4.02168764273427E+033,4.0703069781,22.6062586765
не,27,-0.962962963,2.2443344307,4.1667185609076E+033,2.3639915968,45.5162076207
того,4,-2.5,1,5.29312542852568E+032,2.241390012,6.1320301153
после,9,-1.8888888889,1.5365907429,6.09405340007518E+033,4.0789979384,34.0386044356
будут,14,0,1.839732422,8.91760629929917E+033,3.9938297619,51.4659351841
этого,4,-1.5,1.7320508076,6.13631938155842E+032,2.3831252025,6.7602385075
такие,30,-0.7,1.118804781,1.0190482039467E+035,6.234783435,201.0958582752
все,11,-1.3636363636,1.2862913568,4.18563310044771E+033,3.3632836993,31.5373419535
