collocate,cooc,mean_dist,std_dev_dist,chi_sq,MI,loglike
и,9,-2.0,1.7320508075688772,6.363432534821072e+30,2.751695302678149,20.401920084375668
приложение,50,-0.16,0.5480950312357393,8.211795626403287e+35,15.987954361284924,1247.277204088746
в,8,-0.375,1.9226098333849673,4.3244300621313046e+30,2.491840081346439,15.50206445702976
к,4,1.25,0.5,1.215023083754293e+31,4.646073006302405,18.41390292512843
3,4,0.0,2.0,1.107754298348031e+32,7.730669015486981,35.26069801949885
см,5,-1.2,1.7888543819998322,3.9137614178303354e+32,9.192408741516951,54.296473137950244
