Filename,и,Segment,Личноеместоимение,вербальные,Предлог,Союз,Когнитив,Включение,AllPunc,мест.-сущ.,добавление,Truth,Sex,Avg_sent,TTR,Avg_word,Hapax,Yules
13П.docx,4.32,1,15.11,16.55,13.67,8.63,18.71,12.95,13.67,7.19,4.35,0,муж.,15.3636363636,0.6213017751,4.1301775148,0.7619047619,451.7006802721
14Л.docx,4.11,1,9.03,24.31,11.11,13.19,23.61,7.64,21.53,11.81,4.11,1,муж.,11.5333333333,0.5722543353,4.1734104046,0.6868686869,540.7611468218
14П.docx,2.19,1,9.63,22.22,11.11,11.85,24.44,5.19,20.74,9.63,2.21,0,муж.,11.5333333333,0.5722543353,4.1734104046,0.6868686869,540.7611468218
15Л.docx,6.99,1,8.52,9.63,12.96,14.07,23.33,13.33,17.04,5.56,7.35,1,муж.,17.1111111111,0.6071428571,4.1136363636,0.7807486631,382.9105779405
15П.docx,4.07,1,13.81,14.55,17.54,10.82,16.42,12.31,17.54,11.44,4.49,0,муж.,17.1111111111,0.6071428571,4.1136363636,0.7807486631,382.9105779405
16Л.docx,3.01,1,6.02,15.04,17.29,8.27,18.8,5.26,19.55,3.76,2.29,1,муж.,13.0833333333,0.6433121019,4.4267515924,0.7722772277,441.1332222331
16П.docx,3.03,1,1.81,12.05,13.86,6.63,19.88,6.02,21.69,3.01,3.03,0,муж.,13.0833333333,0.6433121019,4.4267515924,0.7722772277,441.1332222331
17Л.docx,3.2,1,10.05,13.7,15.07,6.85,14.16,10.05,19.63,6.39,3.21,1,муж.,7.9090909091,0.6091954023,4.1724137931,0.8050314465,589.3754202761
17П.docx,4.61,1,13.82,18.43,10.14,9.68,17.51,10.14,26.73,8.76,4.61,0,муж.,7.9090909091,0.6091954023,4.1724137931,0.8050314465,589.3754202761
18Л.docx,2.22,1,11.11,5.93,12.59,5.19,11.85,5.93,20.74,5.19,2.22,1,муж.,16.1,0.701863354,4.7080745342,0.814159292,332.0541937505
18П.docx,1.18,1,11.76,8.24,11.76,3.53,14.12,10.59,20,1.18,1.18,0,муж.,16.1,0.701863354,4.7080745342,0.814159292,332.0541937505
19Л.docx,3.75,1,10,12.5,17.5,5,11.25,3.75,13.75,6.25,3.75,1,муж.,13,0.7912087912,4.8241758242,0.8888888889,206.4043209877
19П.docx,1.75,1,11.4,12.28,19.3,2.63,7.02,5.26,20.18,7.02,1.79,0,муж.,13,0.7912087912,4.8241758242,0.8888888889,206.4043209877
1Л.docx,5,1,8.75,3.75,12.5,6.25,21.25,12.5,22.5,0,5,1,муж.,10.7777777778,0.7010309278,4.4226804124,0.8676470588,477.9411764706
