User,sent_leng_ru,word_leng_ru,TTR_ru,Hapax_ru,Yules_K_ru,sent_leng_en,word_leng_en,TTR_en,Hapax_en,Yules_K_en
Rumi_ia,7.465116279069767,5.065420560747664,0.7445482866043613,0.8535564853556485,93.48575830255072,8.870554765291608,5.776459268762027,0.3551956382296344,0.6582392776523702,333.9125294905961
Fedorenkova_K,6.519808743169399,5.035515976951284,0.36563645887899426,0.7028653295128939,285.4336171295802,5.351535836177474,5.17984693877551,0.40561224489795916,0.6698113207547169,409.5961393932202
Tw37,8.956989247311828,5.200880352140857,0.5064025610244097,0.8020545239035954,170.53647376248466,8.984185556141275,4.77134307340257,0.2583465352344071,0.6039064274358392,646.3889212282687
alinolly,13.327777777777778,5.024385160483535,0.47061275531471447,0.7887511071744907,198.8716823011342,11.153846153846153,4.772413793103448,0.696551724137931,0.7871287128712872,109.79315753357514
AigerimAitzh,8.842522808409361,4.870985106764759,0.2880405526646331,0.6835383896589317,572.9314784135852,7.703571428571428,4.147426981919333,0.3885025498377376,0.6921241050119332,533.6749050187684
MaxKarpoff,4.964285714285714,5.661870503597123,0.7697841726618705,0.8598130841121495,202.6377849593851,6.5107398568019095,4.858137829912024,0.39552785923753664,0.6218721037998146,229.23947876771217
olegzuev,8.2603550295858,5.077363896848137,0.6669054441260746,0.8571428571428571,78.32608989098495,8.941176470588236,5.101544622425629,0.42162471395881007,0.7055630936227951,247.56567477157202
NikushaNyc,7.857142857142857,5.200909090909091,0.63,0.8210678210678211,117.12674050336388,7.246013667425968,6.116629990569003,0.34988997170701036,0.6424079065588499,473.45388849737117
anni_shka,11.075396825396826,5.251701898960946,0.5023289143676102,0.7913694721825963,147.42033491995335,9.367816091954023,4.714110429447853,0.4570552147239264,0.6818791946308724,284.94211972433675
snowwwyy,11.521008403361344,5.346462436177973,0.38192924872355943,0.6910957269037956,309.013916963918,11.24935064935065,5.536827522512122,0.3396444239205726,0.6356220258327668,308.71954085351
the_boris,6.291970802919708,5.016241299303944,0.6832946635730859,0.8556876061120543,107.20019831604313,9.63888888888889,4.662217503412711,0.2581525860761414,0.6189776733254995,716.6518687491456
MSnegovaya,9.332584269662922,6.153864676137732,0.5138454129544907,0.7628865979381443,125.6017844704692,10.1813361611877,5.291115508801167,0.3221539422976773,0.6391852570320078,531.0156147675116
KristinaNichi,8.4375,5.4037037037037035,0.5589506172839506,0.7973495306460519,106.08524322648177,7.760617760617761,4.906467661691543,0.36268656716417913,0.6598079561042524,839.397035606963
rosnovsky,10.655152561888313,4.7363302355738055,0.32223903177004537,0.7127766599597586,503.3161184860111,8.26595744680851,4.781025923883067,0.3559477845192131,0.6534090909090909,293.1861937367666
denisnikulin,6.451851851851852,4.744956536001312,0.44628505822535675,0.7703050349136347,869.327150596562,5.375471698113207,5.277992277992278,0.31157131157131157,0.6319939917386407,492.03497843707083
Beponuka,10.06766917293233,5.1859596713965646,0.5392083644510829,0.7867036011080333,150.43836202743825,7.848837209302325,5.232592592592592,0.49925925925925924,0.6988130563798219,207.97929012318502
inpel,12.531622696060715,4.761038211968277,0.2599855803893295,0.6856350526899612,812.8974664460446,6.641666666666667,4.559598494353827,0.5658720200752823,0.7427937915742794,192.3294379083682
homo_loquens,10.899888765294772,5.178946831309317,0.3882539034595367,0.7451701931922723,283.6627762383262,9.41527446300716,4.47275031685678,0.3133079847908745,0.7103559870550162,1377.9246656402845
nataligevel,6.772079772079772,5.096760622633572,0.4795961295750947,0.7421052631578947,183.87965527854723,5.682389937106918,5.113447703375761,0.44493635860542335,0.7064676616915423,247.37939654959035
teKilla_Uno,7.540692235734332,4.971467559856097,0.4150849770499938,0.749551703526599,278.64140176474643,12.493635077793494,5.033850333974867,0.23265028869013926,0.5717761557177615,836.8172104119677
KarineKurganova,11.00309981401116,4.638212756366914,0.29479377958079783,0.6936162079510704,607.3583288911334,9.142037302725969,4.694758317639674,0.24623352165725046,0.538559592096877,910.2142734408418
cosmokot,14.010614101592115,4.865909090909091,0.37256493506493504,0.7568627450980392,329.42674258977104,16.78236744759556,4.270379486425921,0.16241137357187466,0.525899117846641,2335.3173286530464
